fund_index,fund_name,month profit,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,
B19%2C102,瑞銀(盧森堡)歐元基金- KC,1457239.03125,495271.84375,960351.1875,1336463.75,1582729.625,1732212.25,1821443.125,1874421.875,1905881.625,1924598.25,1935765.5,1942445.25,1946452.125,1948859.625,1950310.25,1951183.5,1951708.75,1952028.625,1952221.5,1952338.0,1952408.5,1952450.875,1952477.0,1952490.25,1952499.875,1952506.5,1952509.0,1952511.25,1952511.875,1952510.875
B19%2C089,瑞銀(盧森堡)美元基金-KC,858731.1875,125383.8125,3651320.75,1124645.875,1296450.5,977869.0,1005605.1875,978839.625,983746.0625,982113.1875,983093.4375,983222.5625,983506.0625,983642.3125,983759.875,983839.375,983900.875,983944.4375,983978.5,984003.75,984026.625,984042.8125,984057.625,984070.5625,984080.6875,984088.8125,984096.625,984104.3125,984107.6875,984115.0
B08%2C008,摩根日本小型企業(日圓)基金,68997.1669921875,-16360.6474609375,20255.826171875,42128.84375,45829.46875,47295.75390625,48536.90234375,49500.05859375,50199.94921875,50698.21875,51088.62109375,51378.1875,51608.0625,51783.19921875,51921.31640625,51998.984375,52063.5546875,52116.375,52193.07421875,52273.19921875,52338.37109375,52399.29296875,52461.62109375,52519.9375,52598.30859375,52625.0546875,52636.44140625,52645.56640625,52648.33203125,52636.51953125
B08%2C007,摩根日本(日圓)基金,12940.4677734375,14464.3896484375,21917.001953125,25635.08203125,26600.03515625,26987.505859375,27173.853515625,27267.7890625,27316.958984375,27344.76953125,27361.583984375,27372.5859375,27380.283203125,27385.357421875,27388.81640625,27390.3046875,27391.48828125,27391.861328125,27392.4453125,27392.998046875,27393.97265625,27395.171875,27396.826171875,27398.240234375,27400.44921875,27401.396484375,27402.388671875,27402.90234375,27404.029296875,27404.857421875
B03%2C283,聯博-日本策略價值基金B股,4973.91845703125,5917.47314453125,9017.6630859375,9567.681640625,9852.3037109375,10085.279296875,10243.7373046875,10350.546875,10438.302734375,10492.7001953125,10532.39453125,10562.603515625,10594.916015625,10597.2744140625,10581.662109375,10579.4970703125,10578.3916015625,10596.5224609375,10629.216796875,10665.693359375,10688.9072265625,10706.95703125,10719.0986328125,10764.931640625,10808.43359375,10838.1943359375,10851.0205078125,10876.8359375,10889.705078125,10891.3916015625
B33%2C052,NN (L) 日本股票基金P股日圓,1705.04541015625,2910.5478515625,1413.5537109375,3397.37109375,4107.2197265625,4285.88525390625,4342.4384765625,4350.39599609375,4351.33154296875,4352.92138671875,4355.34130859375,4355.779296875,4367.87109375,4390.6953125,4410.38916015625,4419.37744140625,4426.45068359375,4435.06591796875,4441.59814453125,4446.8662109375,4464.46533203125,4487.06689453125,4504.2099609375,4521.673828125,4537.45849609375,4564.42138671875,4582.72998046875,4594.67138671875,4604.20751953125,4615.59326171875
B16%2C189,景順日本價值股票基金C股 日圓,1276.5548553466797,175.7072296142578,1001.653564453125,1168.771728515625,1285.3580322265625,1357.4822998046875,1394.9088134765625,1415.3448486328125,1426.993408203125,1434.0841064453125,1438.4119873046875,1441.1448974609375,1442.6328125,1443.2158203125,1443.5203857421875,1443.7235107421875,1444.24072265625,1444.628173828125,1445.9951171875,1447.2159423828125,1447.7996826171875,1448.78076171875,1449.41357421875,1449.7362060546875,1450.3834228515625,1451.0472412109375,1451.5009765625,1451.7620849609375,1451.778076171875,1452.2620849609375
B33%2C020,NN (L) 拉丁美洲股票基金X股美元,1253.9644775390625,1215.7442626953125,2184.63232421875,2367.381103515625,2389.288818359375,2401.666748046875,2416.229736328125,2426.527099609375,2431.972900390625,2436.871826171875,2439.682861328125,2441.2099609375,2448.012939453125,2451.574462890625,2454.64697265625,2460.649169921875,2465.865478515625,2466.5537109375,2473.314453125,2475.06494140625,2476.7314453125,2481.473388671875,2484.670654296875,2487.908447265625,2490.369140625,2492.158447265625,2490.414794921875,2488.572509765625,2482.339111328125,2469.708740234375
B16%2C040,景順日本小型企業基金C股 日圓,1164.6996250152588,-31.10575294494629,575.9884643554688,962.9824829101562,1053.112548828125,1080.7513427734377,1094.4593505859377,1102.828125,1108.4788818359377,1112.6103515625,1116.4010009765623,1120.2850341796877,1123.3828125,1125.6263427734377,1127.14697265625,1128.7003173828125,1130.2738037109375,1132.0997314453125,1133.446044921875,1133.9903564453125,1134.51806640625,1135.125732421875,1135.7977294921875,1135.9345703125,1135.9083251953125,1135.722900390625,1135.2845458984375,1134.44287109375,1134.2923583984375,1133.5938720703125
B06%2C246,法巴百利達美國增長股票基金 C (美元),1002.7465972900391,-1163.6376953125,-367.460693359375,-75.82624053955078,-44.05822372436523,-53.70219802856445,-70.10507965087889,-86.24507904052734,-100.0711898803711,-111.38980102539062,-120.41736602783205,-127.67594909667969,-133.44221496582028,-138.09205627441406,-141.80416870117188,-144.9310760498047,-147.53428649902344,-149.7145538330078,-151.57066345214844,-153.2241668701172,-154.47055053710938,-155.53976440429688,-156.4893035888672,-157.38246154785156,-158.11549377441406,-158.76644897460938,-159.3207244873047,-159.88250732421875,-160.41995239257812,-160.89109802246094
